Aeg p;Katse 26;Katse 28;Katse 29;Katse 30
0,00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
0,04;4,35E-06;2,97E-06;2,85E-06;2,46E-06
0,08;5,32E-06;4,77E-06;4,63E-06;4,00E-06
0,12;6,45E-06;6,36E-06;6,52E-06;4,62E-06
0,16;6,61E-06;8,48E-06;7,47E-06;4,62E-06
0,19;4,19E-06;9,32E-06;8,30E-06;4,93E-06
0,23;1,61E-07;9,64E-06;8,90E-06;5,03E-06
0,27;-2,26E-06;9,96E-06;9,25E-06;4,82E-06
0,31;-3,06E-06;1,02E-05;9,73E-06;4,72E-06
0,35;-3,55E-06;1,04E-05;1,01E-05;4,62E-06
0,39;-3,87E-06;1,06E-05;1,03E-05;5,13E-06
0,43;-3,87E-06;1,08E-05;1,04E-05;6,47E-06
0,47;8,06E-07;1,07E-05;1,02E-05;8,83E-06
0,51;9,19E-06;1,02E-05;9,49E-06;1,18E-05
0,54;1,64E-05;8,69E-06;7,35E-06;1,24E-05
0,58;1,10E-05;5,09E-06;3,68E-06;1,18E-05
0,62;7,90E-06;5,00E-06;4,75E-06;9,03E-06
0,66;8,54E-06;5,54E-06;4,49E-06;4,93E-06
0,70;9,03E-06;5,97E-06;5,24E-06;4,21E-06
0,74;9,35E-06;6,40E-06;5,69E-06;5,40E-06
0,78;9,51E-06;6,94E-06;6,20E-06;6,80E-06
0,82;1,02E-05;7,27E-06;6,47E-06;7,88E-06
0,86;1,06E-05;7,70E-06;6,86E-06;7,61E-06
0,89;1,13E-05;8,13E-06;7,25E-06;7,85E-06
0,93;1,18E-05;8,56E-06;7,64E-06;8,09E-06
0,97;1,22E-05;9,00E-06;8,03E-06;8,34E-06
1,01;1,27E-05;9,43E-06;8,42E-06;8,58E-06
1,05;1,32E-05;9,97E-06;8,93E-06;8,93E-06
1,09;1,39E-05;1,04E-05;9,32E-06;9,17E-06
1,13;1,43E-05;1,07E-05;9,59E-06;9,62E-06
1,17;5,52E-03;1,94E-02;6,07E-03;5,54E-03
1,21;1,10E-02;6,68E-02;1,07E-02;1,74E-03
1,24;7,36E-03;9,05E-02;1,07E-02;1,11E-02
1,28;3,69E-03;1,09E-01;1,35E-02;2,27E-02
1,32;1,44E-05;1,33E-01;1,64E-02;2,97E-02
1,36;-5,49E-03;1,57E-01;2,06E-02;3,90E-02
1,40;-1,28E-02;1,76E-01;2,34E-02;4,60E-02
1,44;-1,83E-02;1,90E-01;2,77E-02;5,07E-02
1,48;-2,20E-02;2,09E-01;3,33E-02;5,77E-02
1,52;-2,39E-02;2,23E-01;3,76E-02;6,47E-02
